cpf,nome_completo,profissao,trabalha_com_carteira_assinada,idade,localizacao,renda_mensal,estado_civil,numero_de_dependentes,score_de_credito,inadimplencia_anterior,valor_total_do_credito_em_aberto,tipo_de_credito_utilizado_anteriormente,valor_da_compra_a_credito,numero_de_parcelas,taxa_de_juros_mensal_(%),taxa_de_juros_anual_(%),percentual_de_entrada_(%),valor_da_entrada,compra_com_entrada,tipo_de_produto_ou_servico_adquirido,data_da_compra,data_de_entrega,data_da_ultima_compra,data_da_proxima_parcela,numero_de_compras_a_credito_anteriores,montante_total_ja_financiado,percentual_de_comprometimento_de_renda_(%),status_do_pagamento_atual,canal_de_aquisicao,comentarios_e_historico_de_interacoes,status_pgto_ordem,risco_pagamento,score_ajustado
260.874.135-53,Elisa Jesus,Alpinista,0,33,Pinto,6798,Divorciado,4,527,0,42476.84,Parcelamento em Loja,26030.72,48,0.89,23.82,40,2765.86,False,Ferramentas,2023-06-12,2024-11-05,2022-02-18,2024-12-02,16,94751.36,17.64,Em dia,Online,Expedita eligendi omnis dolorum voluptas quidem soluta velit eos dolore quae.,1,1,527.0
253.946.017-80,Murilo Porto,Escriturário,0,56,Gomes do Oeste,6782,Casado,4,705,0,30182.78,Parcelamento em Loja,3077.24,12,1.59,6.33,0,5087.53,True,Móveis,2023-08-24,2024-11-28,2023-08-02,2024-12-30,5,17760.38,37.22,Renegociado,Online,Recusandae esse commodi necessitatibus nobis doloribus.,2,1,705.0
842.579.063-83,Catarina Fogaça,Militar da Marinha,1,21,Santos da Prata,6224,Solteiro,4,561,0,24010.09,Parcelamento em Loja,33534.35,36,2.13,33.76,0,9719.16,False,Móveis,2024-10-28,2024-11-26,2021-10-19,2024-11-22,1,29113.61,36.95,Renegociado,Telefone,Doloribus provident similique eius iste dolorem sunt soluta eaque minima perspiciatis omnis natus.,2,1,561.0
928.546.730-00,Ana Júlia Moreira,Carteiro,1,36,Carvalho do Galho,4107,Viúvo,0,314,0,3519.92,Veículo,17790.69,48,1.96,16.79,20,246.11,True,Eletrônicos,2021-11-21,2024-11-26,2022-10-04,2024-11-06,16,51982.89,11.52,Em dia,Presencial,Dolore nihil magnam consectetur quam quam dolor.,1,0,314.0
019.542.863-33,Isis da Cunha,Produtor musical,0,32,Ferreira,11262,Viúvo,0,710,0,40713.92,Imobiliário,36663.59,48,2.89,34.3,30,1260.16,False,Ferramentas,2023-02-11,2024-11-25,2021-09-13,2024-12-18,1,22339.31,35.6,Renegociado,Telefone,Pariatur modi quo minima similique earum dolorum aut ab tempora necessitatibus consectetur porro.,2,1,710.0
907.542.618-67,Laura Pereira,Jogador de vôlei,0,60,Rezende,4297,Casado,1,520,0,8068.62,Pessoal,17726.24,36,0.63,22.54,10,9700.93,True,Eletrodomésticos,2022-12-15,2024-11-09,2023-10-10,2024-11-29,11,47838.65,22.06,Renegociado,Telefone,Similique quis laboriosam error sed expedita enim.,2,1,520.0
647.059.132-99,Mariana Pinto,Aeroviário,1,22,Azevedo do Campo,10284,Casado,2,568,1,6565.28,Veículo,38910.48,12,1.48,8.77,0,4481.98,False,Eletrodomésticos,2022-09-18,2024-11-26,2024-07-08,2024-12-31,10,36498.76,38.27,Renegociado,Online,Fuga labore nesciunt similique commodi doloribus aliquam eius inventore esse ut.,2,0,284.0
793.241.685-09,Lucca Aragão,Profissional de relações internacionais,1,44,Ribeiro,16762,Solteiro,1,385,1,13003.99,Pessoal,21599.19,6,2.65,7.8,40,911.12,False,Móveis,2022-06-16,2024-11-17,2022-01-07,2024-11-21,17,95223.13,40.91,Renegociado,Online,Quam dolore amet ad tempore soluta autem.,2,0,192.5
562.874.013-62,Lara Cardoso,Figurante,1,20,Rezende,3714,Viúvo,1,739,1,37974.14,Veículo,18901.78,24,0.7,15.77,30,2538.83,True,Eletrônicos,2023-02-07,2024-11-21,2024-06-01,2024-12-14,7,98056.43,48.86,Renegociado,Online,Dignissimos sint ex hic explicabo provident hic.,2,0,369.5
714.385.069-10,Noah Teixeira,Angiologista,1,24,Moura Verde,12785,Solteiro,0,503,0,20547.22,Imobiliário,38446.74,24,1.95,17.26,40,4864.82,True,Móveis,2021-12-14,2024-11-16,2022-11-15,2025-01-02,12,40314.41,28.11,Em dia,Telefone,Neque occaecati saepe vitae nam inventore rem ullam non velit.,1,1,503.0
693.812.407-87,Marcos Vinicius da Luz,Supervisor,1,48,Azevedo Alegre,15388,Viúvo,0,615,0,1203.15,Parcelamento em Loja,47767.61,24,0.6,10.53,20,2001.43,True,Móveis,2021-12-19,2024-11-18,2022-07-04,2024-12-30,20,68206.74,27.43,Atrasado,Online,Provident mollitia deleniti possimus id dolore asperiores vel mollitia.,3,0,615.0
789.326.041-69,João Miguel Rezende,Tatuador,1,66,Moraes,15772,Viúvo,2,464,0,6974.1,Parcelamento em Loja,39662.14,24,2.07,17.72,10,5500.08,True,Ferramentas,2024-08-13,2024-11-22,2021-12-28,2024-12-15,18,4689.99,26.76,Em dia,Telefone,Suscipit eos delectus repudiandae culpa perferendis.,1,0,464.0
873.142.096-69,Lorenzo Gomes,Técnico em agropecuária,1,31,da Cruz,5087,Casado,4,327,0,44022.58,Pessoal,21613.67,48,2.1,10.29,30,8500.94,False,Móveis,2024-08-01,2024-11-17,2021-07-12,2024-12-30,20,11719.43,30.82,Atrasado,Presencial,Alias dolorum est eos eaque dignissimos autem.,3,0,327.0
794.805.361-10,Maria Eduarda Rocha,Roteirista,1,52,Ribeiro Alegre,4140,Casado,1,758,0,1075.47,Pessoal,4930.24,6,2.02,21.6,30,3108.06,False,Eletrônicos,2023-08-21,2024-11-28,2022-11-21,2024-12-11,12,40828.47,29.69,Em dia,Presencial,Doloremque iste neque magnam possimus reiciendis id reprehenderit rerum.,1,1,758.0
569.038.172-12,Isaac Cunha,Médico geneticista,0,43,Castro da Serra,12006,Casado,2,716,1,45805.12,Imobiliário,30130.41,6,1.45,12.14,30,2731.4,True,Eletrodomésticos,2022-03-07,2024-11-12,2021-10-13,2024-12-03,14,99320.05,17.06,Em dia,Telefone,Mollitia temporibus veniam et provident consequuntur.,1,0,358.0
167.842.035-26,Sra. Catarina da Costa,Arqueólogo,0,57,Lima da Serra,11863,Divorciado,2,432,0,2666.04,Pessoal,43664.65,24,2.48,8.97,0,6288.49,True,Móveis,2023-05-31,2024-11-13,2022-09-16,2024-12-28,11,67734.63,29.47,Atrasado,Online,Fugit nesciunt amet suscipit officiis officia voluptas ipsa enim.,3,0,432.0
658.421.973-91,Alexandre Alves,Guincheiro,1,28,Viana de da Mata,5312,Viúvo,0,507,0,16638.72,Parcelamento em Loja,1179.21,6,2.27,18.08,40,9003.89,False,Eletrônicos,2023-10-28,2024-11-15,2024-09-10,2025-01-02,10,42744.45,42.56,Atrasado,Presencial,Ea voluptatibus error sapiente animi dolorem recusandae rerum veniam cum repellendus.,3,0,507.0
809.712.345-23,Sabrina Moura,Cineasta,1,30,Pires,12900,Divorciado,2,320,1,38978.79,Imobiliário,34714.63,36,1.26,11.3,30,1537.76,True,Eletrônicos,2022-06-22,2024-12-03,2021-05-31,2025-01-02,10,37740.2,13.26,Em dia,Presencial,Velit in excepturi ipsum excepturi sit ullam cum dicta maxime corrupti recusandae ab.,1,0,160.0
289.746.135-73,Juliana Peixoto,Motorista,0,29,Pinto de Nunes,16199,Divorciado,4,842,0,32968.75,Pessoal,33253.53,36,2.53,13.71,10,6043.63,False,Móveis,2023-09-29,2024-11-30,2020-12-01,2024-12-19,19,63757.04,43.0,Em dia,Telefone,Consequatur illo voluptatibus dolor soluta dolorem.,1,1,842.0
957.842.301-23,Sofia Moura,Violonista,1,58,Farias de Fernandes,6031,Viúvo,3,472,1,12227.43,Imobiliário,17794.21,48,1.3,8.1,10,9594.0,False,Ferramentas,2024-07-04,2024-12-04,2024-03-02,2024-11-13,1,39152.06,34.1,Renegociado,Online,Deserunt illum ipsam quasi commodi tempore quos facilis.,2,0,236.0
516.420.387-17,Luiza Lima,Militar do Exército,1,29,Mendes do Amparo,3422,Divorciado,4,777,1,45650.99,Imobiliário,4343.62,36,2.63,10.53,0,2598.3,True,Eletrônicos,2023-06-21,2024-11-30,2021-11-04,2024-12-25,2,74621.35,33.0,Em dia,Presencial,Ipsa incidunt quod non expedita repellendus.,1,0,388.5
072.456.398-92,Maria Sophia Cardoso,Engenheiro têxtil,0,67,Jesus do Norte,11033,Solteiro,4,314,0,12421.38,Imobiliário,38445.0,36,2.21,26.26,10,5143.08,True,Eletrônicos,2024-03-16,2024-11-14,2023-08-04,2024-12-03,10,12346.88,11.52,Em dia,Presencial,Tempore animi eius fuga animi velit cupiditate doloremque neque.,1,0,314.0
013.972.568-77,Alícia Costa,Aeromoça,1,52,Santos,7346,Solteiro,0,340,1,28800.59,Pessoal,7737.83,6,2.21,26.84,20,3805.22,False,Móveis,2022-07-06,2024-11-06,2022-11-29,2024-11-19,9,55023.82,16.22,Em dia,Telefone,Repellendus cupiditate adipisci earum ullam recusandae aliquid molestiae itaque.,1,0,170.0
367.850.124-90,Maria Fernanda da Cruz,Confeiteiro,1,30,Peixoto,16860,Viúvo,0,477,0,15655.49,Imobiliário,33620.66,24,2.69,12.25,30,3085.29,True,Eletrodomésticos,2024-05-15,2024-11-23,2022-06-25,2024-12-26,9,31113.06,20.91,Renegociado,Telefone,Repellat reiciendis totam accusamus iste cum cum reiciendis eos sunt animi repellendus quam.,2,0,477.0
857.432.196-64,Vitor Hugo Pinto,Headhunter,1,38,Fogaça Verde,16513,Casado,3,555,1,45600.32,Imobiliário,25468.47,6,1.85,18.41,40,7704.6,False,Eletrodomésticos,2023-09-25,2024-11-22,2021-10-11,2024-12-10,5,13158.26,47.72,Renegociado,Telefone,Optio molestias quas vero rerum labore odio libero repudiandae.,2,0,277.5
854.731.692-28,Vitor Monteiro,Orientador educacional,0,67,Araújo da Serra,5026,Casado,0,461,0,14256.88,Imobiliário,5224.64,12,1.31,8.48,40,775.64,False,Eletrodomésticos,2023-03-07,2024-11-07,2023-03-12,2024-12-31,8,38678.76,19.42,Em dia,Online,Autem ratione nobis similique unde amet facere molestiae modi ullam culpa.,1,0,461.0
348.519.267-82,Rafaela Rodrigues,Ortopedista,1,29,Jesus,18436,Viúvo,3,493,1,19281.76,Pessoal,589.9,24,2.01,22.94,10,5934.01,True,Eletrônicos,2022-04-21,2024-11-16,2023-01-05,2024-12-12,9,5094.34,24.51,Atrasado,Online,Occaecati excepturi sit aperiam culpa nisi rem nesciunt porro harum quis eligendi.,3,0,246.5
849.075.312-14,Olivia Moura,Diplomata,1,43,Cunha,10159,Viúvo,0,498,0,37676.81,Imobiliário,3402.45,48,2.83,28.85,0,3049.44,True,Ferramentas,2023-01-03,2024-11-09,2023-07-30,2024-12-30,14,90698.7,17.51,Renegociado,Telefone,Totam quam corporis dolorum dolorum deleniti nemo velit recusandae.,2,0,498.0
240.957.613-34,Srta. Milena Nogueira,Grafologista,0,32,Melo,12759,Divorciado,2,498,0,13992.67,Imobiliário,43855.42,48,2.57,16.32,40,8082.51,True,Móveis,2023-10-14,2024-11-12,2024-10-25,2024-11-29,12,80035.95,16.07,Atrasado,Online,Consectetur assumenda aliquid minus vitae aliquam possimus.,3,0,498.0
738.642.509-00,Sarah Farias,Transportador,0,70,Carvalho,6404,Casado,0,667,0,11867.19,Veículo,30418.78,6,2.84,29.03,0,1125.83,False,Eletrônicos,2023-01-07,2024-11-09,2021-06-17,2024-11-19,8,43321.71,14.67,Renegociado,Presencial,Impedit ullam nostrum pariatur tempora tempore iste amet repudiandae eos alias occaecati dolorem.,2,0,667.0
938.054.126-06,Lucca Azevedo,Pedicure,0,39,da Conceição da Praia,15576,Casado,0,349,0,16637.16,Pessoal,30705.38,6,1.01,21.53,40,3188.6,True,Móveis,2022-09-08,2024-12-04,2021-04-24,2024-12-07,4,37827.34,27.36,Atrasado,Telefone,Explicabo nesciunt nulla dolorum explicabo nisi quasi.,3,0,349.0
016.253.974-61,Sr. Samuel da Conceição,Jóquei,1,63,Novaes de da Cunha,13719,Solteiro,2,485,1,32308.29,Parcelamento em Loja,26846.8,48,1.02,35.44,0,3329.5,True,Móveis,2024-06-04,2024-12-01,2021-12-25,2024-12-29,18,56703.97,37.67,Atrasado,Telefone,Laudantium cupiditate consequuntur laudantium harum ducimus dolore.,3,0,242.5
082.356.479-74,Otávio Ramos,Pára-quedista,1,26,Almeida de da Conceição,6509,Solteiro,1,748,1,46530.23,Imobiliário,48052.53,48,0.66,15.43,10,4992.56,True,Ferramentas,2023-10-10,2024-11-07,2023-11-30,2024-11-14,1,68569.95,16.42,Renegociado,Presencial,Delectus accusantium similique corrupti beatae debitis perspiciatis placeat ea soluta fugit.,2,0,374.0
459.806.127-85,Bianca Fernandes,Atendente,0,50,da Luz,11261,Casado,2,842,1,30594.43,Veículo,3167.07,6,0.88,8.45,10,5574.85,False,Móveis,2023-01-21,2024-11-17,2022-06-04,2024-12-03,5,70562.46,45.35,Renegociado,Telefone,Tenetur qui a molestiae deserunt voluptate eos ipsam.,2,0,421.0
269.035.174-99,Otávio da Cruz,Controller,1,40,Lima de Minas,10123,Solteiro,4,810,0,28409.13,Parcelamento em Loja,40356.42,6,2.17,18.25,40,7822.33,False,Eletrodomésticos,2022-07-16,2024-11-08,2023-01-24,2024-11-07,17,46239.13,38.37,Em dia,Online,Esse saepe libero nobis ullam accusamus.,1,1,810.0
094.768.213-96,Carlos Eduardo Carvalho,Técnico de som,1,24,Duarte,19787,Viúvo,2,544,0,33275.94,Veículo,35079.65,24,2.72,6.87,10,8811.16,True,Eletrodomésticos,2024-05-04,2024-11-30,2021-12-05,2024-12-23,20,55732.32,23.67,Renegociado,Presencial,Accusantium cumque similique nostrum fugiat magni expedita nostrum soluta deleniti placeat.,2,1,544.0
897.143.205-50,Raquel Nogueira,Cobrador de pedágio,0,65,Pinto,15692,Divorciado,2,653,0,38910.09,Veículo,10459.56,24,2.56,8.2,40,3737.93,False,Eletrônicos,2022-05-23,2024-11-17,2023-10-12,2024-12-05,12,88900.16,13.45,Renegociado,Presencial,Ducimus praesentium delectus incidunt omnis cum soluta qui impedit eaque iste libero.,2,0,653.0
527.981.064-94,Rafaela Cardoso,Guarda roupeiro,1,54,Farias,18211,Viúvo,0,445,1,13104.21,Parcelamento em Loja,20173.71,48,1.67,17.14,20,4746.48,False,Eletrônicos,2023-03-21,2024-11-26,2021-04-07,2024-12-30,14,89304.0,20.55,Em dia,Telefone,Recusandae cum facere corrupti in suscipit expedita assumenda repellat consequatur.,1,0,222.5
432.958.671-19,Caroline Pereira,Técnico de som,0,63,Moura,18244,Solteiro,4,762,0,37831.98,Imobiliário,16779.92,48,1.45,35.42,40,4672.83,True,Eletrodomésticos,2021-12-01,2024-11-12,2022-01-01,2024-11-23,20,8704.43,29.23,Atrasado,Online,Nemo unde corrupti enim architecto unde veritatis quisquam dolor corrupti.,3,0,762.0
169.783.204-04,Kevin Fernandes,Vereador,0,54,Rocha,9347,Divorciado,4,760,0,28423.01,Parcelamento em Loja,21343.76,24,0.74,30.31,0,4550.27,False,Móveis,2022-05-16,2024-11-19,2024-07-06,2024-11-22,10,90613.55,42.27,Em dia,Telefone,Et pariatur neque doloremque doloribus pariatur repellat officia cupiditate numquam.,1,1,760.0
463.725.980-00,Sra. Lívia Teixeira,Produtor fonográfico,1,40,Monteiro,15301,Casado,4,743,0,46833.13,Parcelamento em Loja,15181.87,12,2.52,15.71,10,7430.49,True,Ferramentas,2022-01-25,2024-11-11,2023-08-24,2024-11-23,9,70998.1,21.16,Em dia,Telefone,Optio veritatis aliquam fugiat excepturi ea maiores officia mollitia.,1,1,743.0
453.086.719-66,Isis Lima,Gestor de qualidade,0,45,Ribeiro,12662,Casado,0,774,1,11914.15,Parcelamento em Loja,12720.7,48,2.5,33.92,30,5819.9,False,Ferramentas,2023-03-27,2024-11-26,2023-01-16,2024-11-15,17,87047.8,10.54,Em dia,Presencial,Deserunt quam dolore modi sed aliquam nemo.,1,0,387.0
684.502.739-00,Sra. Sophia Carvalho,Ministro,1,52,da Rosa do Amparo,7305,Divorciado,2,710,0,23616.22,Pessoal,24596.49,48,2.31,28.41,20,9973.31,False,Móveis,2024-03-12,2024-11-18,2024-03-30,2024-11-22,4,91028.56,31.48,Atrasado,Online,Provident culpa reprehenderit assumenda sed atque repudiandae quos.,3,0,710.0
327.194.865-82,Pedro Miguel Monteiro,Urologista,0,32,Rezende de Goiás,11086,Divorciado,0,512,1,20499.66,Veículo,7292.07,6,0.89,14.42,0,5870.29,False,Ferramentas,2023-11-16,2024-11-14,2022-03-01,2024-11-26,5,15987.92,26.94,Atrasado,Telefone,Quibusdam maiores tenetur beatae fuga corrupti ipsa impedit libero illo.,3,0,256.0
839.540.721-14,Gabriel da Rocha,Cinegrafista,1,62,Nogueira,18170,Viúvo,2,481,0,4326.67,Veículo,48546.08,48,1.17,8.69,40,1611.13,False,Eletrônicos,2023-05-31,2024-11-16,2024-01-08,2024-12-03,1,64312.9,24.62,Em dia,Telefone,Aut nesciunt minus ea modi harum.,1,0,481.0
190.645.827-85,Sra. Pietra Lima,Enólogo,1,35,Lopes,16758,Viúvo,3,773,0,31260.85,Pessoal,1379.77,48,2.03,27.86,0,1603.08,True,Ferramentas,2022-06-13,2024-11-24,2022-07-25,2024-11-18,17,15446.66,18.73,Renegociado,Online,Quibusdam saepe perferendis aliquam harum necessitatibus magnam ut ipsam.,2,1,773.0
257.081.364-80,Davi Luiz Rodrigues,Técnico em aviação,0,32,Nunes,18563,Divorciado,2,499,0,27200.3,Pessoal,32057.89,6,0.94,25.89,30,824.45,True,Eletrodomésticos,2023-03-09,2024-11-20,2020-12-06,2024-12-16,14,74227.87,27.64,Renegociado,Presencial,Laboriosam rerum maxime quod vero odit eligendi sit quibusdam quod blanditiis ipsa.,2,0,499.0
072.435.981-88,Caio Campos,Figurante,0,24,Gomes das Pedras,10282,Viúvo,2,836,0,32885.77,Imobiliário,2095.08,12,1.76,6.37,30,9873.74,False,Móveis,2023-06-10,2024-11-13,2021-02-10,2024-12-14,4,26674.9,39.41,Atrasado,Presencial,Dolor omnis beatae consequuntur ut repellat debitis.,3,0,836.0
406.281.539-70,Sra. Marcela Peixoto,Juiz de direito,0,66,Teixeira de Minas,3386,Divorciado,4,338,0,10108.32,Pessoal,18183.88,48,1.58,13.49,0,8035.13,True,Ferramentas,2024-03-08,2024-11-30,2023-04-05,2024-12-29,2,98036.88,33.46,Atrasado,Presencial,Delectus esse aperiam eligendi nostrum minus recusandae beatae.,3,0,338.0
510.736.284-26,Esther Pinto,Ator,1,19,Rodrigues Verde,14811,Divorciado,1,389,0,2711.61,Veículo,2970.66,36,1.47,16.53,40,5021.36,True,Móveis,2021-12-14,2024-11-08,2024-08-10,2024-12-29,15,4744.76,24.21,Em dia,Presencial,Vel totam necessitatibus similique sint at sint ipsum repudiandae illo non voluptate.,1,0,389.0
265.387.409-10,Davi Moura,Supervisor,1,18,das Neves,2883,Viúvo,1,696,0,22861.38,Veículo,43925.65,6,2.33,19.46,30,8407.37,True,Móveis,2024-07-08,2024-11-16,2021-04-20,2024-11-10,5,59225.72,46.14,Renegociado,Telefone,Nemo minima officiis maiores dicta quasi accusantium dolor inventore.,2,1,696.0
512.436.870-53,Thales Cunha,Nutrologista,0,49,Duarte,3061,Divorciado,2,352,1,7132.61,Imobiliário,27294.42,6,0.89,6.73,10,8631.98,False,Eletrodomésticos,2023-09-10,2024-11-09,2021-11-14,2024-12-14,5,92679.57,11.45,Atrasado,Online,Accusantium porro cumque a a vel quibusdam molestiae deserunt id sit.,3,0,176.0
094.357.621-07,Luigi da Mata,Investigador de Polícia,1,60,Moreira Alegre,2946,Viúvo,3,557,0,37270.24,Parcelamento em Loja,920.35,24,1.2,33.79,0,5410.46,True,Eletrônicos,2024-08-05,2024-11-07,2024-09-01,2024-11-07,1,44320.91,36.85,Atrasado,Online,Eum aliquid repellat earum suscipit tempore.,3,0,557.0
397.216.540-43,Ana Sophia Porto,Musicoterapeuta,1,56,Novaes,6823,Casado,3,653,0,17614.59,Parcelamento em Loja,32485.24,24,2.38,6.16,20,330.89,False,Ferramentas,2023-03-23,2024-12-02,2022-01-18,2024-12-29,7,7292.14,35.02,Renegociado,Online,Quae vel mollitia cum in repellat cupiditate quod quisquam aperiam iste modi inventore.,2,1,653.0
069.187.423-96,Clara da Mata,Recepcionista,0,54,Dias,14994,Divorciado,4,818,0,2609.61,Pessoal,49161.56,24,1.64,9.49,40,4857.83,False,Móveis,2023-07-12,2024-11-13,2021-12-01,2024-12-20,8,77280.79,10.45,Em dia,Telefone,Quidem ut similique debitis nam suscipit sunt magnam tempora perferendis sunt.,1,1,818.0
703.589.462-47,Benício da Mata,Técnico em aviação,1,68,Sales,5653,Solteiro,3,336,0,25841.96,Pessoal,32395.06,24,2.38,14.3,10,5694.88,False,Eletrônicos,2022-08-08,2024-11-18,2024-04-15,2024-11-20,4,38679.7,31.17,Em dia,Telefone,Dolor laborum tempore assumenda excepturi beatae occaecati molestiae.,1,0,336.0
024.157.836-17,Francisco Oliveira,Corregedor de justiça,1,35,Barbosa,2204,Viúvo,4,442,0,21258.39,Pessoal,9520.33,6,2.16,15.43,10,6513.54,False,Eletrônicos,2023-03-27,2024-12-01,2021-11-19,2024-12-13,18,93938.66,11.42,Em dia,Presencial,Debitis iste dolorum mollitia vitae autem voluptate deleniti optio ratione dicta.,1,0,442.0
342.581.967-46,Marina Cavalcanti,Profissional de marketing,0,35,Jesus,7821,Viúvo,0,579,1,5592.07,Pessoal,46258.43,6,1.77,12.93,30,9831.73,False,Eletrodomésticos,2024-06-14,2024-11-27,2024-01-26,2024-11-16,7,17105.86,24.99,Renegociado,Telefone,Quaerat corrupti perferendis sed quasi dolore tempore itaque.,2,0,289.5
082.563.491-15,Bárbara Cardoso,Treinador,1,18,Carvalho Alegre,9267,Divorciado,1,565,0,32091.1,Imobiliário,41353.68,48,1.54,17.34,20,72.32,False,Eletrônicos,2021-12-28,2024-11-25,2023-09-09,2024-12-19,8,69853.8,14.22,Em dia,Presencial,Quas aperiam labore provident quisquam velit accusantium veritatis laboriosam harum officiis in occaecati.,1,1,565.0
685.739.142-46,Bruno Nascimento,Paginador,1,49,da Mata das Pedras,17980,Casado,4,584,0,6175.8,Imobiliário,7166.14,36,1.27,19.4,30,5964.45,True,Ferramentas,2024-07-31,2024-11-13,2024-10-21,2024-12-15,20,18641.43,47.81,Em dia,Telefone,Repudiandae cumque odio vel minima sequi repellendus dolorum asperiores consectetur.,1,1,584.0
287.169.530-02,Guilherme Campos,Técnico em aviação,1,55,Gomes,12141,Viúvo,4,582,1,35434.76,Parcelamento em Loja,23325.97,12,2.96,8.76,10,245.2,True,Eletrodomésticos,2023-01-18,2024-11-16,2023-03-18,2024-11-07,5,36255.12,37.43,Em dia,Telefone,Ipsam illum itaque magnam beatae voluptas in sequi officia molestiae error optio debitis.,1,0,291.0
869.471.305-57,Sr. Nathan Duarte,Pedreiro,1,64,Nogueira do Amparo,18982,Casado,3,327,0,41026.93,Parcelamento em Loja,15787.61,36,0.9,24.67,40,8670.18,True,Ferramentas,2023-03-23,2024-11-05,2024-06-26,2024-12-17,12,54641.49,20.64,Atrasado,Telefone,Voluptatibus reprehenderit corrupti hic fuga veritatis.,3,0,327.0
351.920.746-06,Luiza Castro,Engenheiro de produto ou produção,1,26,Ferreira,5221,Solteiro,2,761,1,17942.42,Pessoal,48930.61,36,0.72,21.3,0,4829.79,False,Eletrônicos,2024-04-01,2024-11-14,2023-06-16,2024-11-21,16,41083.63,22.48,Renegociado,Presencial,Modi quis nostrum explicabo repudiandae consequuntur ipsum est magni natus veritatis.,2,0,380.5
601.745.938-48,Benício Fogaça,Chapeiro,0,61,da Luz da Serra,10045,Solteiro,2,600,1,3127.48,Veículo,16153.51,36,1.73,23.22,30,1871.28,False,Ferramentas,2024-04-06,2024-12-04,2023-04-16,2024-11-25,17,86369.18,35.22,Atrasado,Online,Eveniet nobis perferendis occaecati ab ipsam error consequatur similique ad.,3,0,300.0
540.167.382-53,Raul Barbosa,Timoneiro,1,45,Silveira do Campo,15677,Divorciado,2,849,0,34412.85,Parcelamento em Loja,13160.79,6,2.46,21.03,40,2008.7,False,Ferramentas,2022-01-05,2024-11-08,2024-03-30,2024-12-05,19,3892.91,44.66,Atrasado,Presencial,Occaecati consequuntur nulla in voluptates esse quisquam nemo id.,3,0,849.0
635.928.471-55,Enrico Silveira,Garçom,1,45,Cardoso de Monteiro,17554,Viúvo,0,591,1,29963.28,Imobiliário,10188.46,36,0.9,12.23,0,1686.07,False,Eletrônicos,2024-01-08,2024-11-08,2024-10-11,2024-12-29,9,31711.26,35.34,Renegociado,Telefone,Natus mollitia nisi esse perspiciatis ducimus.,2,0,295.5
495.837.021-88,João Miguel Silveira,Protesista,1,20,Nunes,2295,Solteiro,1,314,1,18930.73,Parcelamento em Loja,7029.39,6,2.7,28.72,30,1487.2,False,Eletrodomésticos,2022-01-30,2024-11-09,2023-02-06,2024-11-27,5,45492.9,42.4,Em dia,Telefone,Placeat sed eligendi eius veritatis deserunt non magnam esse illum.,1,0,157.0
539.280.164-15,Luigi Ribeiro,Profissional de relações internacionais,1,68,da Cruz,2672,Casado,4,674,0,46044.37,Pessoal,14459.24,24,2.65,12.45,0,9307.75,True,Eletrodomésticos,2022-05-28,2024-11-18,2024-10-07,2024-12-25,8,86785.05,32.54,Atrasado,Presencial,Enim itaque velit exercitationem id neque repellat autem fugit.,3,0,674.0
046.215.798-94,Dr. Joaquim Moura,Governanta,1,43,Costela Verde,2567,Casado,0,829,0,8607.29,Parcelamento em Loja,6104.36,6,2.57,9.57,20,8616.82,False,Eletrodomésticos,2023-12-16,2024-11-13,2021-08-16,2025-01-02,11,2128.32,37.0,Atrasado,Presencial,Modi eaque et recusandae cumque odit rem soluta eveniet cupiditate saepe voluptates cum.,3,0,829.0
937.452.618-28,Heloísa Lopes,Projetista mecânico,1,38,Ramos do Sul,1975,Viúvo,3,340,1,33029.12,Pessoal,3110.66,48,1.71,19.19,20,776.64,True,Eletrodomésticos,2022-02-12,2024-11-30,2023-07-07,2024-11-26,9,95124.29,23.3,Em dia,Presencial,Vero aliquam id mollitia temporibus accusantium molestias.,1,0,170.0
725.164.308-17,João Guilherme Nunes,Revendedor,1,52,Nunes de Pereira,14695,Casado,2,647,0,33090.25,Parcelamento em Loja,25932.18,24,0.66,33.17,20,4731.89,True,Eletrodomésticos,2022-02-18,2024-11-11,2022-12-17,2024-12-06,9,98452.71,30.32,Renegociado,Presencial,Modi dolorum maxime quo a soluta nemo deleniti pariatur.,2,1,647.0
801.659.473-57,Mariana Caldeira,Lapidário,0,68,Jesus,15129,Solteiro,2,389,0,25207.36,Imobiliário,43144.19,36,1.28,8.02,20,7637.47,True,Ferramentas,2022-06-10,2024-11-27,2023-02-03,2025-01-02,13,68306.61,20.31,Renegociado,Online,Ex esse repellendus mollitia nulla qui.,2,0,389.0
312.084.956-15,Dr. Caio Almeida,Ator,1,62,Ferreira do Campo,18557,Divorciado,3,532,0,17389.25,Parcelamento em Loja,23546.09,36,0.6,25.85,10,1784.21,False,Móveis,2022-06-28,2024-12-01,2020-11-10,2024-12-10,2,11863.05,48.39,Atrasado,Presencial,Rerum quia autem expedita voluptates dolores corrupti vero ratione.,3,0,532.0
978.064.352-47,Pietra Nunes,Arranjador musical,1,18,Santos de Moura,5220,Casado,1,806,0,11338.98,Imobiliário,15192.75,6,1.35,7.86,10,4652.51,False,Móveis,2022-04-12,2024-11-22,2021-06-24,2024-11-28,16,58844.56,12.51,Em dia,Telefone,Aliquid distinctio perspiciatis quam quis illo.,1,1,806.0
